"","date","BTCGBP","BTCGBPLOG"
"1",2012-01-01,3.53,NA
"2",2012-01-02,3.46,-0.0200292818755725
"3",2012-01-03,3.2,-0.078117779263952
"4",2012-01-04,3.64,0.128832871842969
"5",2012-01-05,4.64,0.242730684589515
"6",2012-01-06,4.42,-0.0485746701485572
"7",2012-01-07,4.42,0
"8",2012-01-08,4.66,0.0528757520479479
"9",2012-01-09,4.1,-0.128028474427293
"10",2012-01-10,4.28,0.0429660358834434
"11",2012-01-11,4.57,0.0655601953124079
"12",2012-01-12,4.32,-0.0562578026500944
"13",2012-01-13,4.36,0.0092166551049242
"14",2012-01-14,4.5,0.0316053394153311
"15",2012-01-15,4.62,0.0263173083173733
"16",2012-01-16,4.49,-0.0285420033394845
"17",2012-01-17,3.77,-0.174777700294244
"18",2012-01-18,3.93,0.0415644244212505
"19",2012-01-19,4.15,0.0544689083614371
"20",2012-01-20,4.29,0.0331783986973186
"21",2012-01-21,4.08,-0.0501897445238553
"22",2012-01-22,4.15,0.0170113458265366
"23",2012-01-23,4.01,-0.0343170929241292
"24",2012-01-24,4.12,0.0270619220429573
"25",2012-01-25,3.81,-0.0782239742228255
"26",2012-01-26,3.49,-0.0877274529242738
"27",2012-01-27,3.41,-0.0231894449189105
"28",2012-01-28,3.64,0.065271390353224
"29",2012-01-29,3.5,-0.0392207131532814
"30",2012-01-30,3.59,0.0253892340048194
"31",2012-01-31,3.6,0.00278164296187677
"32",2012-02-01,3.93,0.0877055804191056
"33",2012-02-02,3.92,-0.00254777207879875
"34",2012-02-03,3.8,-0.0310905870700311
"35",2012-02-04,3.8,0
"36",2012-02-05,3.59,-0.0568488642321525
"37",2012-02-06,3.45,-0.0397779714569191
"38",2012-02-07,3.6,0.0425596144187959
"39",2012-02-08,3.65,0.0137933221323359
"40",2012-02-09,3.71,0.0163047090249437
"41",2012-02-10,3.82,0.0292185459991399
"42",2012-02-11,3.64,-0.0482667409698343
"43",2012-02-12,3.58,-0.0166208812360404
"44",2012-02-13,3.42,-0.0457222493380951
"45",2012-02-14,2.86,-0.178818926242753
"46",2012-02-15,2.69,-0.0612804312180135
"47",2012-02-16,2.76,0.0256894861153107
"48",2012-02-17,2.9,0.0494800572633698
"49",2012-02-18,2.75,-0.0531098253139484
