"","date","ETHGBP","ETHGBPLOG"
"1",2015-08-06,1.7,NA
"2",2015-08-07,0.5,-1.22377543162212
"3",2015-08-08,0.5,0
"4",2015-08-09,0.5,0
"5",2015-08-10,0.5,0
"6",2015-08-11,0.5,0
"7",2015-08-12,1,0.693147180559945
"8",2015-08-13,1,0
"9",2015-08-14,1,0
"10",2015-08-15,0.5,-0.693147180559945
"11",2015-08-16,0.5,0
"12",2015-08-17,0.5,0
"13",2015-08-18,0.5,0
"14",2015-08-19,0.5,0
"15",2015-08-20,0.5,0
"16",2015-08-21,0.9,0.587786664902119
"17",2015-08-22,0.9,0
"18",2015-08-23,0.9,0
"19",2015-08-24,0.9,0
"20",2015-08-25,0.9,0
"21",2015-08-26,0.9,0
"22",2015-08-27,0.9,0
"23",2015-08-28,0.9,0
"24",2015-08-29,0.88,-0.0224728558520586
"25",2015-08-30,0.9,0.0224728558520586
"26",2015-08-31,0.9,0
"27",2015-09-01,0.9,0
"28",2015-09-02,0.9,0
"29",2015-09-03,0.9,0
"30",2015-09-04,0.9,0
"31",2015-09-05,0.9,0
"32",2015-09-06,0.9,0
"33",2015-09-07,0.9,0
"34",2015-09-08,0.9,0
"35",2015-09-09,0.75,-0.182321556793955
"36",2015-09-10,0.675,-0.105360515657826
"37",2015-09-11,0.75,0.105360515657826
"38",2015-09-12,0.75,0
"39",2015-09-13,0.75,0
"40",2015-09-14,0.6,-0.22314355131421
"41",2015-09-15,0.6,0
"42",2015-09-16,0.6,0
"43",2015-09-17,0.6,0
"44",2015-09-18,0.6,0
"45",2015-09-19,0.6,0
"46",2015-09-20,0.6,0
"47",2015-09-21,0.6,0
"48",2015-09-22,0.6,0
"49",2015-09-23,0.6,0
"50",2015-09-24,0.6,0
"51",2015-09-25,0.6,0
"52",2015-09-26,0.6,0
"53",2015-09-27,0.6,0
"54",2015-09-28,0.6,0
"55",2015-09-29,0.6,0
"56",2015-09-30,0.6,0
"57",2015-10-01,0.6,0
"58",2015-10-02,0.6,0
"59",2015-10-03,0.6,0
"60",2015-10-04,0.6,0
"61",2015-10-05,0.6,0
"62",2015-10-06,0.6,0
"63",2015-10-07,0.6,0
"64",2015-10-08,0.6,0
"65",2015-10-09,0.43,-0.333144446528538
"66",2015-10-10,0.43,0
"67",2015-10-11,0.45,0.0454623740767574
"68",2015-10-12,0.45,0
"69",2015-10-13,0.45,0
"70",2015-10-14,0.45,0
"71",2015-10-15,0.45,0
"72",2015-10-16,0.45,0
"73",2015-10-17,0.45,0
"74",2015-10-18,0.45,0
"75",2015-10-19,0.45,0
"76",2015-10-20,0.45,0
"77",2015-10-21,0.45,0
"78",2015-10-22,0.4,-0.117783035656383
"79",2015-10-23,0.4,0
"80",2015-10-24,0.4,0
"81",2015-10-26,0.4,0
"82",2015-10-27,0.5,0.22314355131421
"83",2015-10-28,0.5,0
"84",2015-10-29,1,0.693147180559945
"85",2015-10-30,1,0
"86",2015-10-31,0.6033,-0.505340693535421
"87",2015-11-01,0.5,-0.187806487024524
"88",2015-11-02,0.725,0.371563556432483
"89",2015-11-03,0.725,0
"90",2015-11-04,0.5,-0.371563556432483
"91",2015-11-05,0.5,0
"92",2015-11-06,0.5,0
"93",2015-11-07,0.5,0
"94",2015-11-08,0.5,0
"95",2015-11-09,0.5,0
"96",2015-11-10,0.5,0
"97",2015-11-11,0.6,0.182321556793955
"98",2015-11-12,0.6,0
"99",2015-11-13,0.6,0
"100",2015-11-14,0.6,0
"101",2015-11-15,0.6,0
"102",2015-11-16,0.6,0
"103",2015-11-17,0.6,0
"104",2015-11-18,0.749,0.221809328301073
"105",2015-11-19,0.749,0
"106",2015-11-20,0.749,0
"107",2015-11-21,0.749,0
"108",2015-11-22,0.749,0
"109",2015-11-23,0.749,0
"110",2015-11-24,0.749,0
"111",2015-11-25,0.749,0
"112",2015-11-26,0.749,0
"113",2015-11-27,0.749,0
"114",2015-11-28,0.749,0
"115",2015-11-29,0.749,0
"116",2015-11-30,0.749,0
"117",2015-12-01,0.749,0
"118",2015-12-02,0.74,-0.012088797319004
"119",2015-12-03,0.74,0
"120",2015-12-04,0.74,0
"121",2015-12-05,0.749,0.012088797319004
"122",2015-12-06,0.749,0
"123",2015-12-07,0.749,0
"124",2015-12-08,0.749,0
"125",2015-12-09,0.5,-0.404130885095028
"126",2015-12-10,0.5,0
"127",2015-12-11,0.5,0
"128",2015-12-12,0.5,0
"129",2015-12-13,0.5,0
"130",2015-12-14,0.5,0
"131",2015-12-15,0.5,0
"132",2015-12-16,0.5,0
"133",2015-12-17,0.5,0
"134",2015-12-18,0.5,0
"135",2015-12-19,0.5,0
"136",2015-12-20,0.5,0
"137",2015-12-21,0.5,0
"138",2015-12-22,0.5,0
"139",2015-12-23,0.749,0.404130885095028
"140",2015-12-24,0.749,0
"141",2015-12-25,0.749,0
"142",2015-12-26,0.749,0
"143",2015-12-27,0.749,0
"144",2015-12-28,0.749,0
"145",2015-12-29,0.749,0
"146",2015-12-30,0.749,0
"147",2015-12-31,0.749,0
"148",2016-01-01,0.749,0
"149",2016-01-02,0.749,0
"150",2016-01-03,0.749,0
"151",2016-01-04,0.749,0
"152",2016-01-05,0.749,0
"153",2016-01-06,0.749,0
"154",2016-01-07,0.749,0
"155",2016-01-08,0.749,0
"156",2016-01-09,0.749,0
"157",2016-01-10,0.749,0
"158",2016-01-11,0.749,0
"159",2016-01-12,0.749,0
"160",2016-01-13,0.75,0.00133422301313668
"161",2016-01-14,0.75,0
"162",2016-01-15,0.75,0
"163",2016-01-16,0.91,0.19337139298054
"164",2016-01-17,0.91,0
"165",2016-01-18,1.05,0.143100843640673
"166",2016-01-19,1.05,0
"167",2016-01-20,1.05,0
"168",2016-01-21,1.05,0
"169",2016-01-22,1.07,0.0188684843043828
"170",2016-01-23,1.27,0.171358251996685
"171",2016-01-24,1.4,0.097455336150713
"172",2016-01-25,1.4,0
"173",2016-01-26,2.05,0.381367556529104
"174",2016-01-27,1.6,-0.247836163904581
"175",2016-01-28,1.91,0.177099612812803
"176",2016-01-29,1.84,-0.0373376704376441
"177",2016-01-30,1.75,-0.0501497836854716
"178",2016-01-31,1.55,-0.121360857004267
"179",2016-02-01,1.55,0
"180",2016-02-02,1.55,0
"181",2016-02-03,1.55,0
"182",2016-02-04,1.95,0.2295744416445
"183",2016-02-05,1.95,0
"184",2016-02-06,1.95,0
"185",2016-02-07,2,0.0253178079842898
"186",2016-02-08,2,0
"187",2016-02-09,3,0.405465108108164
"188",2016-02-10,3.31,0.0983359007208617
"189",2016-02-11,4,0.189346171730919
"190",2016-02-12,4,0
"191",2016-02-13,3,-0.287682072451781
"192",2016-02-14,3.5,0.154150679827258
"193",2016-02-15,4.49,0.249089733258795
"194",2016-02-16,4.49,0
"195",2016-02-17,2.5,-0.585561969880008
"196",2016-02-18,2.5,0
"197",2016-02-19,3.9,0.444685821261446
"198",2016-02-20,3.5,-0.108213584640233
"199",2016-02-21,3,-0.154150679827258
"200",2016-02-22,3.9,0.262364264467491
"201",2016-02-23,4.4,0.120627987788615
"202",2016-02-24,4.3,-0.0229895182246989
"203",2016-02-25,4.25,-0.0116960397631913
"204",2016-02-26,4.2,-0.0118344576470026
"205",2016-02-27,4.7,0.11247798342669
"206",2016-02-28,4.7,0
"207",2016-02-29,4.25,-0.100643525779688
"208",2016-03-01,4.58,0.0747800151897682
