,X1,X2,X3,X4,X5,X6
21,Friday 31 May 2019,OIL/GBP,42.2225,OIL GBP rate for Friday 31 May 2019,NA,NA
22,Thursday 30 May 2019,OIL/GBP,44.8663,OIL GBP rate for Thursday 30 May 2019,NA,NA
23,Wednesday 29 May 2019,OIL/GBP,46.8957,OIL GBP rate for Wednesday 29 May 2019,NA,NA
24,Tuesday 28 May 2019,OIL/GBP,46.5793,OIL GBP rate for Tuesday 28 May 2019,NA,NA
25,Monday 27 May 2019,OIL/GBP,46.6051,OIL GBP rate for Monday 27 May 2019,NA,NA
26,Sunday 26 May 2019,OIL/GBP,46.2345,OIL GBP rate for Sunday 26 May 2019,NA,NA
27,Saturday 25 May 2019,OIL/GBP,46.4131,OIL GBP rate for Saturday 25 May 2019,NA,NA
28,Friday 24 May 2019,OIL/GBP,46.4095,OIL GBP rate for Friday 24 May 2019,NA,NA
29,Thursday 23 May 2019,OIL/GBP,45.8893,OIL GBP rate for Thursday 23 May 2019,NA,NA
30,Wednesday 22 May 2019,OIL/GBP,48.478,OIL GBP rate for Wednesday 22 May 2019,NA,NA
31,Tuesday 21 May 2019,OIL/GBP,49.5592,OIL GBP rate for Tuesday 21 May 2019,NA,NA
32,Monday 20 May 2019,OIL/GBP,49.8232,OIL GBP rate for Monday 20 May 2019,NA,NA
33,Sunday 19 May 2019,OIL/GBP,49.9116,OIL GBP rate for Sunday 19 May 2019,NA,NA
34,Saturday 18 May 2019,OIL/GBP,49.4575,OIL GBP rate for Saturday 18 May 2019,NA,NA
35,Friday 17 May 2019,OIL/GBP,49.4575,OIL GBP rate for Friday 17 May 2019,NA,NA
36,Thursday 16 May 2019,OIL/GBP,49.4764,OIL GBP rate for Thursday 16 May 2019,NA,NA
37,Wednesday 15 May 2019,OIL/GBP,48.4515,OIL GBP rate for Wednesday 15 May 2019,NA,NA
38,Tuesday 14 May 2019,OIL/GBP,47.471,OIL GBP rate for Tuesday 14 May 2019,NA,NA
39,Monday 13 May 2019,OIL/GBP,47.0842,OIL GBP rate for Monday 13 May 2019,NA,NA
40,Sunday 12 May 2019,OIL/GBP,47.1784,OIL GBP rate for Sunday 12 May 2019,NA,NA
41,Saturday 11 May 2019,OIL/GBP,47.489,OIL GBP rate for Saturday 11 May 2019,NA,NA
42,Friday 10 May 2019,OIL/GBP,47.489,OIL GBP rate for Friday 10 May 2019,NA,NA
43,Thursday  9 May 2019,OIL/GBP,47.4176,OIL GBP rate for Thursday  9 May 2019,NA,NA
44,Wednesday  8 May 2019,OIL/GBP,47.6448,OIL GBP rate for Wednesday  8 May 2019,NA,NA
45,Tuesday  7 May 2019,OIL/GBP,47.1307,OIL GBP rate for Tuesday  7 May 2019,NA,NA
46,Monday  6 May 2019,OIL/GBP,47.4574,OIL GBP rate for Monday  6 May 2019,NA,NA
47,Sunday  5 May 2019,OIL/GBP,46.1352,OIL GBP rate for Sunday  5 May 2019,NA,NA
48,Saturday  4 May 2019,OIL/GBP,46.9521,OIL GBP rate for Saturday  4 May 2019,NA,NA
49,Friday  3 May 2019,OIL/GBP,46.9521,OIL GBP rate for Friday  3 May 2019,NA,NA
50,Thursday  2 May 2019,OIL/GBP,47.3313,OIL GBP rate for Thursday  2 May 2019,NA,NA
51,Wednesday  1 May 2019,OIL/GBP,48.6386,OIL GBP rate for Wednesday  1 May 2019,NA,NA
52,Tuesday 30 April 2019,OIL/GBP,48.699,OIL GBP rate for Tuesday 30 April 2019,NA,NA
53,Monday 29 April 2019,OIL/GBP,49.1482,OIL GBP rate for Monday 29 April 2019,NA,NA
54,Sunday 28 April 2019,OIL/GBP,48.6881,OIL GBP rate for Sunday 28 April 2019,NA,NA
55,Saturday 27 April 2019,OIL/GBP,48.6448,OIL GBP rate for Saturday 27 April 2019,NA,NA
56,Friday 26 April 2019,OIL/GBP,48.6365,OIL GBP rate for Friday 26 April 2019,NA,NA
57,Thursday 25 April 2019,OIL/GBP,50.4143,OIL GBP rate for Thursday 25 April 2019,NA,NA
58,Wednesday 24 April 2019,OIL/GBP,50.9371,OIL GBP rate for Wednesday 24 April 2019,NA,NA
59,Tuesday 23 April 2019,OIL/GBP,51.1214,OIL GBP rate for Tuesday 23 April 2019,NA,NA
60,Monday 22 April 2019,OIL/GBP,50.6805,OIL GBP rate for Monday 22 April 2019,NA,NA
61,Sunday 21 April 2019,OIL/GBP,49.4936,OIL GBP rate for Sunday 21 April 2019,NA,NA
62,Saturday 20 April 2019,OIL/GBP,49.2882,OIL GBP rate for Saturday 20 April 2019,NA,NA
63,Friday 19 April 2019,OIL/GBP,49.2882,OIL GBP rate for Friday 19 April 2019,NA,NA
64,Thursday 18 April 2019,OIL/GBP,49.3148,OIL GBP rate for Thursday 18 April 2019,NA,NA
65,Wednesday 17 April 2019,OIL/GBP,48.9491,OIL GBP rate for Wednesday 17 April 2019,NA,NA
66,Tuesday 16 April 2019,OIL/GBP,49.4288,OIL GBP rate for Tuesday 16 April 2019,NA,NA
67,Monday 15 April 2019,OIL/GBP,48.4947,OIL GBP rate for Monday 15 April 2019,NA,NA
68,Sunday 14 April 2019,OIL/GBP,48.6045,OIL GBP rate for Sunday 14 April 2019,NA,NA
69,Saturday 13 April 2019,OIL/GBP,48.7688,OIL GBP rate for Saturday 13 April 2019,NA,NA
70,Friday 12 April 2019,OIL/GBP,48.7688,OIL GBP rate for Friday 12 April 2019,NA,NA
71,Thursday 11 April 2019,OIL/GBP,48.7582,OIL GBP rate for Thursday 11 April 2019,NA,NA
