"","open","high","low","close","volume","adjusted_close"
"X2012.01.01",3.07,3.6,3,3.53,1414,3.53
"X2012.01.02",3.53,3.57,3.38,3.46,443,3.46
"X2012.01.03",3.46,3.46,3.1,3.2,1107,3.2
"X2012.01.04",3.2,3.65,3.18,3.64,2763,3.64
"X2012.01.05",3.64,4.64,3.65,4.64,1756,4.64
"X2012.01.06",4.64,4.71,4.13,4.42,4810,4.42
"X2012.01.07",4.42,4.43,4.19,4.42,835,4.42
"X2012.01.08",4.42,4.66,4.27,4.66,328,4.66
"X2012.01.09",4.66,4.7,3.8,4.1,5074,4.1
"X2012.01.10",4.1,4.35,4,4.28,2947,4.28
"X2012.01.11",4.28,4.66,4.26,4.57,4325,4.57
"X2012.01.12",4.57,4.61,4.25,4.32,5603,4.32
"X2012.01.13",4.32,4.53,4.25,4.36,4023,4.36
"X2012.01.14",4.36,4.55,4.15,4.5,2866,4.5
"X2012.01.15",4.5,4.62,4.35,4.62,42,4.62
"X2012.01.16",4.62,4.7,4.25,4.49,1496,4.49
"X2012.01.17",4.49,4.6,3,3.77,9814,3.77
"X2012.01.18",3.77,4.4,3.69,3.93,5746,3.93
"X2012.01.19",3.93,4.15,3.84,4.15,4195,4.15
"X2012.01.20",4.15,4.3,4.08,4.29,401,4.29
"X2012.01.21",4.29,4.3,3.99,4.08,1639,4.08
"X2012.01.22",4.08,4.15,4.01,4.15,250,4.15
"X2012.01.23",4.15,4.2,4,4.01,652,4.01
"X2012.01.24",4.01,4.21,4.1,4.12,7962,4.12
"X2012.01.25",4.12,4.16,3.68,3.81,7043,3.81
"X2012.01.26",3.81,3.83,3.49,3.49,2084,3.49
"X2012.01.27",3.49,3.53,3.26,3.41,4287,3.41
"X2012.01.28",3.41,3.71,3.35,3.64,804,3.64
"X2012.01.29",3.64,3.65,3.42,3.5,2230,3.5
"X2012.01.30",3.5,3.62,3.49,3.59,879,3.59
"X2012.01.31",3.59,3.63,3.53,3.6,6346,3.6
"X2012.02.01",3.6,3.93,3.55,3.93,5110,3.93
"X2012.02.02",3.93,3.95,3.76,3.92,2649,3.92
"X2012.02.03",3.92,3.97,3.69,3.8,5193,3.8
"X2012.02.04",3.8,3.87,3.79,3.8,1620,3.8
"X2012.02.05",3.8,3.8,3.54,3.59,7696,3.59
"X2012.02.06",3.59,3.69,3.45,3.45,4272,3.45
"X2012.02.07",3.45,3.68,3.5,3.6,5425,3.6
"X2012.02.08",3.6,3.74,3.44,3.65,4462,3.65
"X2012.02.09",3.65,3.71,3.55,3.71,3950,3.71
"X2012.02.10",3.71,3.83,3.72,3.82,2534,3.82
"X2012.02.11",3.82,3.84,3.61,3.64,2011,3.64
"X2012.02.12",3.64,3.71,3.49,3.58,5199,3.58
"X2012.02.13",3.58,3.63,3.38,3.42,6494,3.42
"X2012.02.14",3.42,3.48,2.73,2.86,11801,2.86
"X2012.02.15",2.86,3.14,2.69,2.69,11194,2.69
"X2012.02.16",2.69,2.89,2.6,2.76,3110,2.76
"X2012.02.17",2.76,3,2.75,2.9,1275,2.9
"X2012.02.18",2.9,2.89,2.68,2.75,9081,2.75
"X2012.02.19",2.75,2.87,2.69,2.85,1222,2.85
"X2012.02.20",2.85,2.85,2.75,2.77,1940,2.77
"X2012.02.21",2.77,2.84,2.72,2.79,8339,2.79
"X2012.02.22",2.79,2.94,2.79,2.79,6661,2.79
"X2012.02.23",2.79,3.28,2.85,3.26,2865,3.26
"X2012.02.24",3.26,3.28,3.09,3.28,4481,3.28
"X2012.02.25",3.28,3.29,3.02,3.02,6041,3.02
"X2012.02.26",3.02,3.22,3.08,3.12,1204,3.12
"X2012.02.27",3.12,3.21,3.1,3.17,1672,3.17
"X2012.02.28",3.17,3.23,3.03,3.08,6804,3.08
"X2012.02.29",3.08,3.17,3.1,3.14,3918,3.14
"X2012.03.01",3.14,3.2,3.13,3.17,3985,3.17
"X2012.03.02",3.17,3.18,2.88,2.95,9958,2.95
"X2012.03.03",2.95,3.07,2.92,3.02,4157,3.02
"X2012.03.04",3.02,3.2,2.98,3.11,6397,3.11
"X2012.03.05",3.11,3.19,3.02,3.15,880,3.15
"X2012.03.06",3.15,3.26,3.13,3.2,8343,3.2
"X2012.03.07",3.2,3.23,3.09,3.23,2016,3.23
"X2012.03.08",3.23,3.25,3.1,3.17,7026,3.17
"X2012.03.09",3.17,3.21,3.14,3.16,5080,3.16
"X2012.03.10",3.16,3.19,3.06,3.1,4547,3.1
"X2012.03.11",3.1,3.13,3.05,3.13,710,3.13
"X2012.03.12",3.13,3.18,3,3.12,2056,3.12
"X2012.03.13",3.12,3.49,3.13,3.34,6879,3.34
