"","Date","Open*","High","Low","Close**","Volume","Market Cap"
"1","Jun 14, 2019",256.18,265.37,254.15,264.09,"8,676,891,267","28,123,338,884"
"2","Jun 13, 2019",260.91,262.16,255.6,256.17,"8,442,077,836","27,276,572,627"
"3","Jun 12, 2019",245.93,261.02,244.49,260.9,"8,645,598,618","27,777,154,177"
"4","Jun 11, 2019",247.86,248.66,239.83,245.78,"7,382,269,700","26,163,906,569"
"5","Jun 10, 2019",232.83,247.66,229.34,247.52,"8,141,159,848","26,345,596,475"
"6","Jun 09, 2019",245.54,245.97,229.26,233.09,"7,566,421,456","24,806,123,509"
"7","Jun 08, 2019",251.25,252.38,243.23,245.74,"7,225,996,863","26,149,221,979"
"8","Jun 07, 2019",249.34,254.35,246.6,250.93,"8,379,534,528","26,698,353,830"
"9","Jun 06, 2019",246.93,249.94,238.5,249.47,"8,265,146,806","26,540,057,659"
"10","Jun 05, 2019",241.5,248.14,239.98,247.05,"8,548,917,062","26,278,874,480"
"11","Jun 04, 2019",252.51,252.51,236.13,241.34,"10,132,549,747","25,667,971,281"
"12","Jun 03, 2019",270.09,270.33,251.26,252.61,"9,375,712,917","26,863,086,906"
"13","Jun 02, 2019",265.51,272.81,265.04,270.23,"8,744,111,713","28,732,949,885"
"14","Jun 01, 2019",268.43,273.56,263.52,265.39,"9,942,869,852","28,215,330,784"
"15","May 31, 2019",256.02,268.66,249.11,268.11,"11,255,023,515","28,501,098,831"
"16","May 30, 2019",269.55,287.2,247.35,255.86,"13,604,268,584","27,194,892,741"
"17","May 29, 2019",271.78,273.76,263.09,269.46,"9,819,132,174","28,636,457,373"
"18","May 28, 2019",272.59,274.32,267.51,271.77,"10,362,846,898","28,878,512,607"
"19","May 27, 2019",267.14,278.51,265.44,272.86,"12,074,664,736","28,991,071,396"
"20","May 26, 2019",251.72,269.17,247.25,267.07,"9,664,267,731","28,371,943,145"
"21","May 25, 2019",249.69,257.36,249.09,251.76,"8,924,985,385","26,742,086,786"
"22","May 24, 2019",245.99,255.26,243.24,249.48,"9,929,433,206","26,497,014,858"
"23","May 23, 2019",244.67,247.62,233.79,245.97,"10,671,663,487","26,119,891,327"
"24","May 22, 2019",255,258.8,242.73,244.7,"9,818,257,463","25,982,060,192"
"25","May 21, 2019",251.65,262.11,248.2,255.22,"11,545,049,593","27,095,257,004"
"26","May 20, 2019",261.27,261.55,241.8,251.86,"10,834,541,285","26,736,046,292"
"27","May 19, 2019",234.45,263.74,233.76,261.29,"12,049,250,894","27,733,299,057"
"28","May 18, 2019",243.91,246.36,233.1,234.6,"10,933,142,646","24,896,520,187"
"29","May 17, 2019",263.85,266.98,227.77,243.76,"16,037,551,694","25,866,318,005"
