"","open","high","low","close","volume","adjusted_close"
"2012-01-02",1.552602,1.554896,1.547604,1.551205,0,1.551205
"2012-01-03",1.552096,1.5625,1.551109,1.552,0,1.552
"2012-01-04",1.5647,1.567005,1.558263,1.564407,0,1.564407
"2012-01-05",1.561207,1.562695,1.54691,1.560939,0,1.560939
"2012-01-06",1.550195,1.552675,1.538201,1.550171,0,1.550171
"2012-01-09",1.542091,1.547006,1.540002,1.541949,0,1.541949
"2012-01-10",1.545762,1.550051,1.544807,1.545906,0,1.545906
"2012-01-11",1.547389,1.548803,1.534401,1.547461,0,1.547461
"2012-01-12",1.533578,1.536807,1.528351,1.533601,0,1.533601
"2012-01-13",1.534448,1.539883,1.524809,1.534213,0,1.534213
"2012-01-16",1.530409,1.53306,1.528444,1.530011,0,1.530011
"2012-01-17",1.532356,1.54031,1.531933,1.532497,0,1.532497
"2012-01-18",1.53386,1.543305,1.533107,1.53386,0,1.53386
"2012-01-19",1.5429,1.548683,1.541664,1.542996,0,1.542996
"2012-01-20",1.548659,1.553905,1.545308,1.548827,0,1.548827
"2012-01-23",1.554436,1.560257,1.552144,1.554557,0,1.554557
"2012-01-24",1.557899,1.559746,1.553712,1.557899,0,1.557899
"2012-01-25",1.562695,1.562866,1.554146,1.562695,0,1.562695
"2012-01-26",1.565925,1.57161,1.565239,1.566097,0,1.566097
"2012-01-27",1.567472,1.572797,0.637389,1.568209,0,1.568209
"2012-01-30",1.572327,1.572698,1.56568,1.572401,0,1.572401
"2012-01-31",1.570845,1.579529,1.570302,1.570845,0,1.570845
"2012-02-01",1.570845,1.579529,1.570302,1.576044,0,1.576044
"2012-02-02",1.584786,1.585791,1.580278,1.584284,0,1.584284
"2012-02-03",1.580278,1.585691,1.575299,1.580278,0,1.580278
"2012-02-06",1.580278,1.580903,1.573292,1.580303,0,1.580303
"2012-02-07",1.581278,1.586093,1.579031,1.581278,0,1.581278
"2012-02-08",1.58932,1.592864,1.580528,1.58932,0,1.58932
"2012-02-09",1.581278,1.58831,1.579429,1.581278,0,1.581278
"2012-02-10",1.581278,1.584861,1.57406,1.581278,0,1.581278
"2012-02-13",1.578283,1.582779,1.576044,1.578208,0,1.578208
"2012-02-14",1.572574,1.57679,1.566416,1.572574,0,1.572574
"2012-02-15",1.56912,1.57344,1.5673,1.56912,0,1.56912
"2012-02-16",1.568627,1.576293,1.566171,1.568874,0,1.568874
"2012-02-17",1.580778,1.58632,1.579105,1.580778,0,1.580778
"2012-02-20",1.586798,1.588058,1.584535,1.586924,0,1.586924
"2012-02-21",1.582779,1.586546,1.57761,1.582829,0,1.582829
"2012-02-22",1.57918,1.581278,1.565435,1.579031,0,1.579031
"2012-02-23",1.567152,1.572822,1.565411,1.567202,0,1.567202
"2012-02-24",1.574506,1.587806,1.572574,1.574555,0,1.574555
"2012-02-27",1.588562,1.588815,1.583381,1.588688,0,1.588688
"2012-02-28",1.58328,1.587554,1.580803,1.58328,0,1.58328
"2012-02-29",1.592103,1.597827,1.591343,1.592205,0,1.592205
"2012-03-01",1.592357,1.597444,1.590381,1.592357,0,1.592357
"2012-03-02",1.595914,1.596934,1.583983,1.595914,0,1.595914
"2012-03-05",1.58328,1.587806,1.578781,1.583306,0,1.583306
"2012-03-06",1.587554,1.588562,1.573762,1.587554,0,1.587554
"2012-03-07",1.572327,1.575994,1.570056,1.572327,0,1.572327
"2012-03-08",1.573317,1.58303,1.572649,1.573564,0,1.573564
"2012-03-09",1.582529,1.58303,1.567767,1.582529,0,1.582529
"2012-03-12",1.566907,1.569489,1.560403,1.5673,0,1.5673
"2012-03-13",1.565435,1.574555,1.562256,1.565435,0,1.565435
"2012-03-14",1.570598,1.574307,1.56519,1.570598,0,1.570598
"2012-03-15",1.565435,1.568923,1.563697,1.565435,0,1.565435
"2012-03-16",1.570352,1.586093,1.569834,1.570352,0,1.570352
"2012-03-19",1.583782,1.590584,1.582529,1.583707,0,1.583707
"2012-03-20",1.588815,1.589825,1.58328,1.588815,0,1.588815
"2012-03-21",1.586546,1.592306,1.582529,1.586294,0,1.586294
