"","X1","X2","X3","X4","X5","X6"
"3","Wednesday 19 June 2019","OIL/GBP","43.06020","OIL GBP rate for Wednesday 19 June 2019",NA,NA
"4","Tuesday 18 June 2019","OIL/GBP","43.17370","OIL GBP rate for Tuesday 18 June 2019",NA,NA
"5","Monday 17 June 2019","OIL/GBP","41.62480","OIL GBP rate for Monday 17 June 2019",NA,NA
"6","Sunday 16 June 2019","OIL/GBP","41.79470","OIL GBP rate for Sunday 16 June 2019",NA,NA
"7","Saturday 15 June 2019","OIL/GBP","41.72290","OIL GBP rate for Saturday 15 June 2019",NA,NA
"8","Friday 14 June 2019","OIL/GBP","41.71630","OIL GBP rate for Friday 14 June 2019",NA,NA
"9","Thursday 13 June 2019","OIL/GBP","41.12380","OIL GBP rate for Thursday 13 June 2019",NA,NA
"10","Wednesday 12 June 2019","OIL/GBP","40.30810","OIL GBP rate for Wednesday 12 June 2019",NA,NA
"11","Tuesday 11 June 2019","OIL/GBP","41.53270","OIL GBP rate for Tuesday 11 June 2019",NA,NA
"12","Monday 10 June 2019","OIL/GBP","42.07490","OIL GBP rate for Monday 10 June 2019",NA,NA
"13","Sunday  9 June 2019","OIL/GBP","42.89610","OIL GBP rate for Sunday  9 June 2019",NA,NA
"14","Saturday  8 June 2019","OIL/GBP","42.43150","OIL GBP rate for Saturday  8 June 2019",NA,NA
"15","Friday  7 June 2019","OIL/GBP","42.43150","OIL GBP rate for Friday  7 June 2019",NA,NA
"16","Thursday  6 June 2019","OIL/GBP","41.73750","OIL GBP rate for Thursday  6 June 2019",NA,NA
"17","Wednesday  5 June 2019","OIL/GBP","40.57890","OIL GBP rate for Wednesday  5 June 2019",NA,NA
"18","Tuesday  4 June 2019","OIL/GBP","41.72340","OIL GBP rate for Tuesday  4 June 2019",NA,NA
"19","Monday  3 June 2019","OIL/GBP","41.94860","OIL GBP rate for Monday  3 June 2019",NA,NA
"20","Sunday  2 June 2019","OIL/GBP","41.45470","OIL GBP rate for Sunday  2 June 2019",NA,NA
"21","Saturday  1 June 2019","OIL/GBP","42.22250","OIL GBP rate for Saturday  1 June 2019",NA,NA
"22","Friday 31 May 2019","OIL/GBP","42.22250","OIL GBP rate for Friday 31 May 2019",NA,NA
"23","Thursday 30 May 2019","OIL/GBP","44.86630","OIL GBP rate for Thursday 30 May 2019",NA,NA
"24","Wednesday 29 May 2019","OIL/GBP","46.89570","OIL GBP rate for Wednesday 29 May 2019",NA,NA
"25","Tuesday 28 May 2019","OIL/GBP","46.57930","OIL GBP rate for Tuesday 28 May 2019",NA,NA
"26","Monday 27 May 2019","OIL/GBP","46.60510","OIL GBP rate for Monday 27 May 2019",NA,NA
"27","Sunday 26 May 2019","OIL/GBP","46.23450","OIL GBP rate for Sunday 26 May 2019",NA,NA
"28","Saturday 25 May 2019","OIL/GBP","46.41310","OIL GBP rate for Saturday 25 May 2019",NA,NA
"29","Friday 24 May 2019","OIL/GBP","46.40950","OIL GBP rate for Friday 24 May 2019",NA,NA
"30","Thursday 23 May 2019","OIL/GBP","45.88930","OIL GBP rate for Thursday 23 May 2019",NA,NA
"31","Wednesday 22 May 2019","OIL/GBP","48.47800","OIL GBP rate for Wednesday 22 May 2019",NA,NA
"32","Tuesday 21 May 2019","OIL/GBP","49.55920","OIL GBP rate for Tuesday 21 May 2019",NA,NA
"33","Monday 20 May 2019","OIL/GBP","49.82320","OIL GBP rate for Monday 20 May 2019",NA,NA
"34","Sunday 19 May 2019","OIL/GBP","49.91160","OIL GBP rate for Sunday 19 May 2019",NA,NA
"35","Saturday 18 May 2019","OIL/GBP","49.45750","OIL GBP rate for Saturday 18 May 2019",NA,NA
"36","Friday 17 May 2019","OIL/GBP","49.45750","OIL GBP rate for Friday 17 May 2019",NA,NA
"37","Thursday 16 May 2019","OIL/GBP","49.47640","OIL GBP rate for Thursday 16 May 2019",NA,NA
"38","Wednesday 15 May 2019","OIL/GBP","48.45150","OIL GBP rate for Wednesday 15 May 2019",NA,NA
"39","Tuesday 14 May 2019","OIL/GBP","47.47100","OIL GBP rate for Tuesday 14 May 2019",NA,NA
"40","Monday 13 May 2019","OIL/GBP","47.08420","OIL GBP rate for Monday 13 May 2019",NA,NA
"41","Sunday 12 May 2019","OIL/GBP","47.17840","OIL GBP rate for Sunday 12 May 2019",NA,NA
"42","Saturday 11 May 2019","OIL/GBP","47.48900","OIL GBP rate for Saturday 11 May 2019",NA,NA
"43","Friday 10 May 2019","OIL/GBP","47.48900","OIL GBP rate for Friday 10 May 2019",NA,NA
"44","Thursday  9 May 2019","OIL/GBP","47.41760","OIL GBP rate for Thursday  9 May 2019",NA,NA
"45","Wednesday  8 May 2019","OIL/GBP","47.64480","OIL GBP rate for Wednesday  8 May 2019",NA,NA
"46","Tuesday  7 May 2019","OIL/GBP","47.13070","OIL GBP rate for Tuesday  7 May 2019",NA,NA
"47","Monday  6 May 2019","OIL/GBP","47.45740","OIL GBP rate for Monday  6 May 2019",NA,NA
"48","Sunday  5 May 2019","OIL/GBP","46.13520","OIL GBP rate for Sunday  5 May 2019",NA,NA
"49","Saturday  4 May 2019","OIL/GBP","46.95210","OIL GBP rate for Saturday  4 May 2019",NA,NA
"50","Friday  3 May 2019","OIL/GBP","46.95210","OIL GBP rate for Friday  3 May 2019",NA,NA
"51","Thursday  2 May 2019","OIL/GBP","47.33130","OIL GBP rate for Thursday  2 May 2019",NA,NA
"52","Wednesday  1 May 2019","OIL/GBP","48.63860","OIL GBP rate for Wednesday  1 May 2019",NA,NA
"53","Tuesday 30 April 2019","OIL/GBP","48.69900","OIL GBP rate for Tuesday 30 April 2019",NA,NA
"54","Monday 29 April 2019","OIL/GBP","49.14820","OIL GBP rate for Monday 29 April 2019",NA,NA
"55","Sunday 28 April 2019","OIL/GBP","48.68810","OIL GBP rate for Sunday 28 April 2019",NA,NA
"56","Saturday 27 April 2019","OIL/GBP","48.64480","OIL GBP rate for Saturday 27 April 2019",NA,NA
"57","Friday 26 April 2019","OIL/GBP","48.63650","OIL GBP rate for Friday 26 April 2019",NA,NA
"58","Thursday 25 April 2019","OIL/GBP","50.41430","OIL GBP rate for Thursday 25 April 2019",NA,NA
"59","Wednesday 24 April 2019","OIL/GBP","50.93710","OIL GBP rate for Wednesday 24 April 2019",NA,NA
"60","Tuesday 23 April 2019","OIL/GBP","51.12140","OIL GBP rate for Tuesday 23 April 2019",NA,NA
"61","Monday 22 April 2019","OIL/GBP","50.68050","OIL GBP rate for Monday 22 April 2019",NA,NA
"62","Sunday 21 April 2019","OIL/GBP","49.49360","OIL GBP rate for Sunday 21 April 2019",NA,NA
"63","Saturday 20 April 2019","OIL/GBP","49.28820","OIL GBP rate for Saturday 20 April 2019",NA,NA
"64","Friday 19 April 2019","OIL/GBP","49.28820","OIL GBP rate for Friday 19 April 2019",NA,NA
"65","Thursday 18 April 2019","OIL/GBP","49.31480","OIL GBP rate for Thursday 18 April 2019",NA,NA
"66","Wednesday 17 April 2019","OIL/GBP","48.94910","OIL GBP rate for Wednesday 17 April 2019",NA,NA
"67","Tuesday 16 April 2019","OIL/GBP","49.42880","OIL GBP rate for Tuesday 16 April 2019",NA,NA
"68","Monday 15 April 2019","OIL/GBP","48.49470","OIL GBP rate for Monday 15 April 2019",NA,NA
"69","Sunday 14 April 2019","OIL/GBP","48.60450","OIL GBP rate for Sunday 14 April 2019",NA,NA
"70","Saturday 13 April 2019","OIL/GBP","48.76880","OIL GBP rate for Saturday 13 April 2019",NA,NA
"71","Friday 12 April 2019","OIL/GBP","48.76880","OIL GBP rate for Friday 12 April 2019",NA,NA
"72","Thursday 11 April 2019","OIL/GBP","48.75820","OIL GBP rate for Thursday 11 April 2019",NA,NA
"73","Wednesday 10 April 2019","OIL/GBP","49.17500","OIL GBP rate for Wednesday 10 April 2019",NA,NA
"74","Tuesday  9 April 2019","OIL/GBP","49.14650","OIL GBP rate for Tuesday  9 April 2019",NA,NA
"75","Monday  8 April 2019","OIL/GBP","49.31970","OIL GBP rate for Monday  8 April 2019",NA,NA
"76","Sunday  7 April 2019","OIL/GBP","48.64980","OIL GBP rate for Sunday  7 April 2019",NA,NA
"77","Saturday  6 April 2019","OIL/GBP","48.53490","OIL GBP rate for Saturday  6 April 2019",NA,NA
"78","Friday  5 April 2019","OIL/GBP","48.53490","OIL GBP rate for Friday  5 April 2019",NA,NA
"79","Thursday  4 April 2019","OIL/GBP","47.47790","OIL GBP rate for Thursday  4 April 2019",NA,NA
"80","Wednesday  3 April 2019","OIL/GBP","47.42620","OIL GBP rate for Wednesday  3 April 2019",NA,NA
"81","Tuesday  2 April 2019","OIL/GBP","47.60840","OIL GBP rate for Tuesday  2 April 2019",NA,NA
"82","Monday  1 April 2019","OIL/GBP","47.17930","OIL GBP rate for Monday  1 April 2019",NA,NA
"83","Sunday 31 March 2019","OIL/GBP","46.35230","OIL GBP rate for Sunday 31 March 2019",NA,NA
"84","Saturday 30 March 2019","OIL/GBP","46.15530","OIL GBP rate for Saturday 30 March 2019",NA,NA
"85","Friday 29 March 2019","OIL/GBP","46.15920","OIL GBP rate for Friday 29 March 2019",NA,NA
"86","Thursday 28 March 2019","OIL/GBP","45.60050","OIL GBP rate for Thursday 28 March 2019",NA,NA
"87","Wednesday 27 March 2019","OIL/GBP","45.13790","OIL GBP rate for Wednesday 27 March 2019",NA,NA
"88","Tuesday 26 March 2019","OIL/GBP","45.31180","OIL GBP rate for Tuesday 26 March 2019",NA,NA
"89","Monday 25 March 2019","OIL/GBP","44.79310","OIL GBP rate for Monday 25 March 2019",NA,NA
"90","Sunday 24 March 2019","OIL/GBP","44.51940","OIL GBP rate for Sunday 24 March 2019",NA,NA
"91","Saturday 23 March 2019","OIL/GBP","44.63330","OIL GBP rate for Saturday 23 March 2019",NA,NA
"92","Friday 22 March 2019","OIL/GBP","44.62310","OIL GBP rate for Friday 22 March 2019",NA,NA
"93","Thursday 21 March 2019","OIL/GBP","45.63730","OIL GBP rate for Thursday 21 March 2019",NA,NA
"94","Wednesday 20 March 2019","OIL/GBP","45.52440","OIL GBP rate for Wednesday 20 March 2019",NA,NA
"95","Tuesday 19 March 2019","OIL/GBP","44.63330","OIL GBP rate for Tuesday 19 March 2019",NA,NA
"96","Monday 18 March 2019","OIL/GBP","44.76990","OIL GBP rate for Monday 18 March 2019",NA,NA
"97","Sunday 17 March 2019","OIL/GBP","44.18430","OIL GBP rate for Sunday 17 March 2019",NA,NA
"98","Saturday 16 March 2019","OIL/GBP","44.09590","OIL GBP rate for Saturday 16 March 2019",NA,NA
"99","Friday 15 March 2019","OIL/GBP","44.09590","OIL GBP rate for Friday 15 March 2019",NA,NA
"100","Thursday 14 March 2019","OIL/GBP","44.15400","OIL GBP rate for Thursday 14 March 2019",NA,NA
"101","Wednesday 13 March 2019","OIL/GBP","43.91020","OIL GBP rate for Wednesday 13 March 2019",NA,NA
"102","Tuesday 12 March 2019","OIL/GBP","43.76530","OIL GBP rate for Tuesday 12 March 2019",NA,NA
"103","Monday 11 March 2019","OIL/GBP","43.01900","OIL GBP rate for Monday 11 March 2019",NA,NA
"104","Sunday 10 March 2019","OIL/GBP","43.24940","OIL GBP rate for Sunday 10 March 2019",NA,NA
"105","Saturday  9 March 2019","OIL/GBP","43.04790","OIL GBP rate for Saturday  9 March 2019",NA,NA
"106","Friday  8 March 2019","OIL/GBP","43.05710","OIL GBP rate for Friday  8 March 2019",NA,NA
"107","Thursday  7 March 2019","OIL/GBP","43.12570","OIL GBP rate for Thursday  7 March 2019",NA,NA
"108","Wednesday  6 March 2019","OIL/GBP","42.58150","OIL GBP rate for Wednesday  6 March 2019",NA,NA
"109","Tuesday  5 March 2019","OIL/GBP","42.68140","OIL GBP rate for Tuesday  5 March 2019",NA,NA
"110","Monday  4 March 2019","OIL/GBP","42.82480","OIL GBP rate for Monday  4 March 2019",NA,NA
"111","Sunday  3 March 2019","OIL/GBP","42.31380","OIL GBP rate for Sunday  3 March 2019",NA,NA
"112","Saturday  2 March 2019","OIL/GBP","42.23160","OIL GBP rate for Saturday  2 March 2019",NA,NA
"113","Friday  1 March 2019","OIL/GBP","42.22620","OIL GBP rate for Friday  1 March 2019",NA,NA
"114","Thursday 28 February 2019","OIL/GBP","43.13060","OIL GBP rate for Thursday 28 February 2019",NA,NA
"115","Wednesday 27 February 2019","OIL/GBP","42.79530","OIL GBP rate for Wednesday 27 February 2019",NA,NA
"116","Tuesday 26 February 2019","OIL/GBP","42.25780","OIL GBP rate for Tuesday 26 February 2019",NA,NA
"117","Monday 25 February 2019","OIL/GBP","42.25850","OIL GBP rate for Monday 25 February 2019",NA,NA
"118","Sunday 24 February 2019","OIL/GBP","43.89520","OIL GBP rate for Sunday 24 February 2019",NA,NA
"119","Saturday 23 February 2019","OIL/GBP","43.73110","OIL GBP rate for Saturday 23 February 2019",NA,NA
"120","Friday 22 February 2019","OIL/GBP","43.72940","OIL GBP rate for Friday 22 February 2019",NA,NA
"121","Thursday 21 February 2019","OIL/GBP","43.61810","OIL GBP rate for Thursday 21 February 2019",NA,NA
"122","Wednesday 20 February 2019","OIL/GBP","43.85000","OIL GBP rate for Wednesday 20 February 2019",NA,NA
"123","Tuesday 19 February 2019","OIL/GBP","43.11080","OIL GBP rate for Tuesday 19 February 2019",NA,NA
"124","Monday 18 February 2019","OIL/GBP","43.54810","OIL GBP rate for Monday 18 February 2019",NA,NA
"125","Sunday 17 February 2019","OIL/GBP","43.62360","OIL GBP rate for Sunday 17 February 2019",NA,NA
"126","Saturday 16 February 2019","OIL/GBP","43.60390","OIL GBP rate for Saturday 16 February 2019",NA,NA
"127","Friday 15 February 2019","OIL/GBP","43.59310","OIL GBP rate for Friday 15 February 2019",NA,NA
"128","Thursday 14 February 2019","OIL/GBP","42.94810","OIL GBP rate for Thursday 14 February 2019",NA,NA
"129","Wednesday 13 February 2019","OIL/GBP","42.00190","OIL GBP rate for Wednesday 13 February 2019",NA,NA
"130","Tuesday 12 February 2019","OIL/GBP","41.47730","OIL GBP rate for Tuesday 12 February 2019",NA,NA
"131","Monday 11 February 2019","OIL/GBP","40.75830","OIL GBP rate for Monday 11 February 2019",NA,NA
"132","Sunday 10 February 2019","OIL/GBP","40.57740","OIL GBP rate for Sunday 10 February 2019",NA,NA
"133","Saturday  9 February 2019","OIL/GBP","40.71770","OIL GBP rate for Saturday  9 February 2019",NA,NA
"134","Friday  8 February 2019","OIL/GBP","40.72710","OIL GBP rate for Friday  8 February 2019",NA,NA
"135","Thursday  7 February 2019","OIL/GBP","40.52800","OIL GBP rate for Thursday  7 February 2019",NA,NA
"136","Wednesday  6 February 2019","OIL/GBP","41.70920","OIL GBP rate for Wednesday  6 February 2019",NA,NA
"137","Tuesday  5 February 2019","OIL/GBP","41.50520","OIL GBP rate for Tuesday  5 February 2019",NA,NA
"138","Monday  4 February 2019","OIL/GBP","41.99750","OIL GBP rate for Monday  4 February 2019",NA,NA
"139","Sunday  3 February 2019","OIL/GBP","42.22900","OIL GBP rate for Sunday  3 February 2019",NA,NA
"140","Saturday  2 February 2019","OIL/GBP","42.31660","OIL GBP rate for Saturday  2 February 2019",NA,NA
"141","Friday  1 February 2019","OIL/GBP","42.31660","OIL GBP rate for Friday  1 February 2019",NA,NA
