"","open","high","low","close","volume","adjusted_close"
"X2015.08.06",2,3,1.7,1.7,1009,1.7
"X2015.08.07",1.7,1.7,0.5,0.5,6,0.5
"X2015.08.08",0.5,0.5,0.5,0.5,0,0.5
"X2015.08.09",0.5,0.5,0.5,0.5,2,0.5
"X2015.08.10",0.5,0.5,0.5,0.5,0,0.5
"X2015.08.11",0.5,0.5,0.5,0.5,0,0.5
"X2015.08.12",0.5,1,0.5,1,199,1
"X2015.08.13",1,1,1,1,0,1
"X2015.08.14",1,1,1,1,0,1
"X2015.08.15",1,1,0.5,0.5,500,0.5
"X2015.08.16",0.5,0.5,0.5,0.5,0,0.5
"X2015.08.17",0.5,0.5,0.5,0.5,0,0.5
"X2015.08.18",0.5,0.5,0.5,0.5,0,0.5
"X2015.08.19",0.5,0.5,0.5,0.5,0,0.5
"X2015.08.20",0.5,0.5,0.5,0.5,0,0.5
"X2015.08.21",0.5,0.9,0.5,0.9,1,0.9
"X2015.08.22",0.9,0.9,0.9,0.9,0,0.9
"X2015.08.23",0.9,0.9,0.9,0.9,0,0.9
"X2015.08.24",0.9,0.9,0.9,0.9,0,0.9
"X2015.08.25",0.9,0.9,0.9,0.9,0,0.9
"X2015.08.26",0.9,0.9,0.9,0.9,0,0.9
"X2015.08.27",0.9,0.9,0.9,0.9,0,0.9
"X2015.08.28",0.9,0.9,0.9,0.9,0,0.9
"X2015.08.29",0.9,0.9,0.88,0.88,267,0.88
"X2015.08.30",0.88,0.9,0.88,0.9,427,0.9
"X2015.08.31",0.9,0.9,0.9,0.9,0,0.9
"X2015.09.01",0.9,0.9,0.9,0.9,0,0.9
"X2015.09.02",0.9,0.9,0.9,0.9,0,0.9
"X2015.09.03",0.9,0.9,0.9,0.9,0,0.9
"X2015.09.04",0.9,0.9,0.9,0.9,0,0.9
"X2015.09.05",0.9,0.9,0.9,0.9,0,0.9
"X2015.09.06",0.9,0.9,0.9,0.9,0,0.9
"X2015.09.07",0.9,0.9,0.9,0.9,0,0.9
"X2015.09.08",0.9,0.9,0.9,0.9,0,0.9
"X2015.09.09",0.9,0.9,0.75,0.75,2,0.75
"X2015.09.10",0.75,0.75,0.675,0.675,152,0.675
"X2015.09.11",0.675,0.75,0.675,0.75,498,0.75
"X2015.09.12",0.75,0.75,0.75,0.75,0,0.75
"X2015.09.13",0.75,0.75,0.75,0.75,0,0.75
"X2015.09.14",0.75,0.75,0.6,0.6,0,0.6
"X2015.09.15",0.6,0.6,0.6,0.6,30,0.6
"X2015.09.16",0.6,0.6,0.6,0.6,0,0.6
"X2015.09.17",0.6,0.6,0.6,0.6,0,0.6
"X2015.09.18",0.6,0.6,0.6,0.6,0,0.6
"X2015.09.19",0.6,0.6,0.6,0.6,0,0.6
"X2015.09.20",0.6,0.6,0.6,0.6,0,0.6
"X2015.09.21",0.6,0.6,0.6,0.6,0,0.6
"X2015.09.22",0.6,0.6,0.6,0.6,0,0.6
"X2015.09.23",0.6,0.6,0.6,0.6,0,0.6
"X2015.09.24",0.6,0.6,0.6,0.6,0,0.6
"X2015.09.25",0.6,0.6,0.6,0.6,0,0.6
"X2015.09.26",0.6,0.6,0.6,0.6,0,0.6
"X2015.09.27",0.6,0.6,0.6,0.6,0,0.6
"X2015.09.28",0.6,0.6,0.6,0.6,0,0.6
"X2015.09.29",0.6,0.6,0.6,0.6,0,0.6
"X2015.09.30",0.6,0.6,0.6,0.6,0,0.6
"X2015.10.01",0.6,0.6,0.6,0.6,0,0.6
"X2015.10.02",0.6,0.6,0.6,0.6,0,0.6
"X2015.10.03",0.6,0.6,0.6,0.6,0,0.6
"X2015.10.04",0.6,0.6,0.6,0.6,0,0.6
"X2015.10.05",0.6,0.6,0.6,0.6,0,0.6
"X2015.10.06",0.6,0.6,0.6,0.6,0,0.6
"X2015.10.07",0.6,0.6,0.6,0.6,0,0.6
"X2015.10.08",0.6,0.6,0.6,0.6,0,0.6
"X2015.10.09",0.6,0.43,0.43,0.43,2,0.43
"X2015.10.10",0.43,0.43,0.43,0.43,0,0.43
"X2015.10.11",0.43,0.45,0.45,0.45,140,0.45
"X2015.10.12",0.45,0.45,0.45,0.45,180,0.45
"X2015.10.13",0.45,0.45,0.45,0.45,0,0.45
"X2015.10.14",0.45,0.45,0.45,0.45,0,0.45
"X2015.10.15",0.45,0.45,0.45,0.45,0,0.45
"X2015.10.16",0.45,0.45,0.45,0.45,0,0.45
"X2015.10.17",0.45,0.45,0.45,0.45,0,0.45
"X2015.10.18",0.45,0.45,0.45,0.45,0,0.45
"X2015.10.19",0.45,0.45,0.45,0.45,0,0.45
"X2015.10.20",0.45,0.45,0.45,0.45,0,0.45
"X2015.10.21",0.45,0.45,0.45,0.45,0,0.45
"X2015.10.22",0.45,0.4,0.35,0.4,194,0.4
"X2015.10.23",0.4,0.4,0.4,0.4,0,0.4
"X2015.10.24",0.4,0.4,0.4,0.4,4,0.4
"X2015.10.26",0.4,0.4,0.4,0.4,0,0.4
"X2015.10.27",0.4,0.5,0.4,0.5,0,0.5
"X2015.10.28",0.5,0.515,0.5,0.5,1528,0.5
"X2015.10.29",0.5,1,0.5,1,1,1
"X2015.10.30",1,1,1,1,0,1
"X2015.10.31",1,1,0.6033,0.6033,50,0.6033
"X2015.11.01",0.6033,0.6033,0.5,0.5,5,0.5
"X2015.11.02",0.5,0.725,0.5,0.725,4238,0.725
"X2015.11.03",0.725,0.725,0.725,0.725,0,0.725
"X2015.11.04",0.725,0.65,0.5,0.5,653,0.5
"X2015.11.05",0.5,0.5,0.5,0.5,0,0.5
"X2015.11.06",0.5,0.5,0.5,0.5,0,0.5
"X2015.11.07",0.5,0.5,0.5,0.5,0,0.5
"X2015.11.08",0.5,0.5,0.5,0.5,0,0.5
"X2015.11.09",0.5,0.5,0.5,0.5,0,0.5
"X2015.11.10",0.5,0.5,0.5,0.5,0,0.5
"X2015.11.11",0.5,0.6,0.6,0.6,45,0.6
"X2015.11.12",0.6,0.6,0.6,0.6,0,0.6
