"","open","high","low","close","volume","adjusted_close"
"2012-01-02",1.1974,1.1995,1.1961,1.1974,0,1.1974
"2012-01-03",1.1992,1.1998,1.1943,1.1991,0,1.1991
"2012-01-04",1.1982,1.2096,1.1978,1.1982,0,1.1982
"2012-01-05",1.2069,1.211,1.2063,1.2067,0,1.2067
"2012-01-06",1.2113,1.2133,1.2096,1.2113,0,1.2113
"2012-01-09",1.2157,1.2157,1.2079,1.2157,0,1.2157
"2012-01-10",1.2098,1.2119,1.2064,1.2097,0,1.2097
"2012-01-11",1.2127,1.2132,1.2087,1.213,0,1.213
"2012-01-12",1.2051,1.2055,1.1948,1.205,0,1.205
"2012-01-13",1.1964,1.2078,1.1936,1.1963,0,1.1963
"2012-01-16",1.2095,1.2111,1.2069,1.2096,0,1.2096
"2012-01-17",1.2094,1.2094,1.2016,1.2093,0,1.2093
"2012-01-18",1.2031,1.2037,1.1969,1.2032,0,1.2032
"2012-01-19",1.1991,1.2009,1.1952,1.1989,0,1.1989
"2012-01-20",1.1943,1.2019,1.1933,1.1944,0,1.1944
"2012-01-23",1.2055,1.2064,1.194,1.2058,0,1.2058
"2012-01-24",1.1958,1.2026,1.1916,1.1959,0,1.1959
"2012-01-25",1.1984,1.203,1.1928,1.1984,0,1.1984
"2012-01-26",1.1944,1.1971,1.1905,1.1943,0,1.1943
"2012-01-27",1.1973,1.1989,1.192,1.1972,0,1.1972
"2012-01-30",1.1902,1.1971,1.1901,1.1901,0,1.1901
"2012-01-31",1.1951,1.2052,1.1924,1.1951,0,1.1951
"2012-02-01",1.1951,1.2072,1.1924,1.205,0,1.205
"2012-02-02",1.2029,1.2079,1.2001,1.2028,0,1.2028
"2012-02-03",1.2027,1.2056,1.1993,1.2026,0,1.2026
"2012-02-06",1.2035,1.2096,1.2033,1.2036,0,1.2036
"2012-02-07",1.2051,1.207,1.1972,1.2051,0,1.2051
"2012-02-08",1.1992,1.2002,1.193,1.1993,0,1.1993
"2012-02-09",1.1932,1.199,1.1901,1.1933,0,1.1933
"2012-02-10",1.1908,1.1973,1.1893,1.1906,0,1.1906
"2012-02-13",1.1913,1.195,1.1898,1.1919,0,1.1919
"2012-02-14",1.195,1.1955,1.1906,1.1951,0,1.1951
"2012-02-15",1.195,1.2003,1.1901,1.1948,0,1.1948
"2012-02-16",1.2011,1.2078,1.2011,1.2011,0,1.2011
"2012-02-17",1.2038,1.206,1.1994,1.2037,0,1.2037
"2012-02-20",1.1996,1.2021,1.1949,1.1995,0,1.1995
"2012-02-21",1.1982,1.1986,1.1905,1.1982,0,1.1982
"2012-02-22",1.1916,1.1932,1.1823,1.1918,0,1.1918
"2012-02-23",1.1819,1.1826,1.1777,1.1821,0,1.1821
"2012-02-24",1.1768,1.1806,1.1754,1.1769,0,1.1769
"2012-02-27",1.1792,1.1845,1.1782,1.1791,0,1.1791
"2012-02-28",1.1806,1.1809,1.1776,1.1805,0,1.1805
"2012-02-29",1.1809,1.1925,1.1807,1.181,0,1.181
"2012-03-01",1.1947,1.1993,1.1925,1.1947,0,1.1947
