Date,Open Price,Close Price,High Price,Low Price,Volume
03-Jan-2012,10102.71,10361.95,10361.95,10102.71,241038768
04-Jan-2012,10361.98,10273.77,10380.35,10234.71,211914960
05-Jan-2012,10273.78,10144.64,10284.98,10130.77,232809328
06-Jan-2012,10144.59,10245.86,10280.70,10144.44,194787872
09-Jan-2012,10245.80,10251.13,10296.56,10232.28,180525776
10-Jan-2012,10251.07,10347.72,10386.17,10250.99,247417008
11-Jan-2012,10347.75,10372.56,10427.43,10337.31,217120976
12-Jan-2012,10372.63,10466.45,10487.36,10361.33,270203072
13-Jan-2012,10466.34,10457.71,10519.35,10387.03,269378944
16-Jan-2012,10457.65,10478.63,10485.73,10403.41,151187840
17-Jan-2012,10478.60,10592.21,10653.25,10478.60,273487040
18-Jan-2012,10592.22,10661.08,10678.34,10529.46,257947152
19-Jan-2012,10661.05,10808.30,10835.15,10661.05,328131232
20-Jan-2012,10808.28,10825.93,10845.65,10797.17,257033552
23-Jan-2012,10825.90,10867.56,10892.57,10821.52,267542368
24-Jan-2012,10867.62,10736.93,10867.62,10692.86,250663376
25-Jan-2012,10737.03,10748.39,10827.91,10694.32,200750704
26-Jan-2012,10748.29,10908.82,10957.83,10748.29,244145824
27-Jan-2012,10908.83,10854.72,10936.68,10824.35,207758224
30-Jan-2012,10854.75,10694.17,10854.75,10678.13,215678224
31-Jan-2012,10694.09,10769.35,10824.69,10694.09,290554944
01-Feb-2012,10769.42,11021.02,11024.61,10769.42,298519296
02-Feb-2012,11021.04,11086.51,11100.61,10999.78,336662528
03-Feb-2012,11084.86,11235.15,11238.41,11063.38,339616768
06-Feb-2012,11234.79,11237.74,11239.73,11147.38,216816544
07-Feb-2012,11237.77,11193.70,11265.53,11120.24,261648480
08-Feb-2012,11193.67,11161.88,11219.47,11150.21,287402688
09-Feb-2012,11161.86,11234.57,11247.85,11161.86,296139488
10-Feb-2012,11234.66,11167.61,11234.78,11121.14,250126192
13-Feb-2012,11167.58,11275.60,11296.17,11167.58,284357536
14-Feb-2012,11275.69,11245.69,11326.90,11225.43,243943264
15-Feb-2012,11245.63,11288.92,11351.53,11244.84,270508480
16-Feb-2012,11288.91,11203.43,11288.91,11139.26,245772576
17-Feb-2012,11203.37,11312.21,11325.85,11203.37,271722528
20-Feb-2012,11312.15,11420.21,11443.37,11311.49,264207824
21-Feb-2012,11420.08,11379.54,11430.27,11346.67,255808128
22-Feb-2012,11379.53,11449.23,11464.77,11378.96,310010784
23-Feb-2012,11449.24,11505.74,11541.14,11449.12,314452032
24-Feb-2012,11505.73,11526.98,11555.08,11505.73,496699040
27-Feb-2012,11526.96,11472.07,11527.70,11395.54,213090080
28-Feb-2012,11472.04,11529.15,11559.25,11471.87,275246784
29-Feb-2012,11529.09,11449.52,11535.74,11429.14,291027200
01-Mar-2012,11449.54,11535.36,11556.27,11442.95,303033600
02-Mar-2012,11535.40,11538.43,11548.34,11504.45,355961792
05-Mar-2012,11538.51,11414.10,11538.51,11393.36,261611024
06-Mar-2012,11414.12,11144.10,11414.12,11106.49,375686016
07-Mar-2012,11144.11,11287.14,11299.35,11134.92,279406368
08-Mar-2012,11287.10,11458.36,11476.55,11287.10,297403456
09-Mar-2012,11458.38,11527.96,11551.51,11458.07,293980640
12-Mar-2012,11527.95,11563.90,11566.49,11494.30,216349040
13-Mar-2012,11563.87,11750.07,11750.07,11563.87,297872864
14-Mar-2012,11750.12,11750.29,11858.54,11749.31,343074464
15-Mar-2012,11750.33,11699.28,11779.81,11666.08,335362016
16-Mar-2012,11699.24,11792.92,11799.52,11697.39,669926272
19-Mar-2012,11792.88,11785.49,11807.87,11746.79,308872160
20-Mar-2012,11785.54,11633.24,11785.54,11603.00,377980960
21-Mar-2012,11633.22,11656.75,11717.03,11621.47,329746464
22-Mar-2012,11656.70,11551.70,11656.70,11518.77,313611040
23-Mar-2012,11551.64,11566.67,11618.17,11469.56,314187072
26-Mar-2012,11566.66,11734.73,11738.58,11566.56,288790912
27-Mar-2012,11734.70,11710.70,11800.09,11694.82,331386496
28-Mar-2012,11710.75,11589.71,11719.11,11579.84,409476192
29-Mar-2012,11589.60,11430.98,11592.32,11405.60,326536448
30-Mar-2012,11430.83,11538.88,11550.19,11430.83,314065504
02-Apr-2012,11538.83,11655.06,11655.06,11496.87,316662944
03-Apr-2012,11655.04,11638.77,11692.46,11634.29,286459168
04-Apr-2012,11638.85,11352.45,11638.88,11325.19,359693824
05-Apr-2012,11352.42,11380.56,11433.44,11278.93,286184960
10-Apr-2012,11380.47,11136.16,11380.47,11136.16,294945152
11-Apr-2012,11136.01,11234.00,11246.20,11098.46,303058656
12-Apr-2012,11233.96,11414.53,11435.84,11224.52,317342784
13-Apr-2012,11414.52,11311.05,11436.51,11295.39,266673696
16-Apr-2012,11311.07,11255.40,11331.00,11230.04,274337888
17-Apr-2012,11255.39,11426.29,11446.70,11227.57,283301024
18-Apr-2012,11426.30,11431.99,11459.09,11361.11,276105312
19-Apr-2012,11431.95,11423.00,11494.22,11382.80,423256416
20-Apr-2012,11425.49,11444.85,11452.90,11379.47,308036768
23-Apr-2012,11444.86,11181.62,11444.86,11129.90,565697344
24-Apr-2012,11181.56,11272.23,11276.96,11181.56,298264736
25-Apr-2012,11272.24,11334.45,11386.60,11272.24,341622688
26-Apr-2012,11334.37,11361.38,11400.28,11280.44,272042880
27-Apr-2012,11361.37,11479.74,11487.77,11289.78,279609344
